,WAP006,WAP015,WAP016,WAP059,WAP077,WAP078,WAP082,WAP083,WAP084,WAP085,WAP088,WAP089,WAP102,WAP107,WAP108,WAP109,WAP110,WAP111,WAP112,WAP113,WAP114,WAP115,WAP116,WAP148,WAP149,WAP164,WAP165,WAP174,WAP175,WAP176,WAP177,WAP178,WAP179,WAP180,WAP181,WAP186,WAP187,WAP188,WAP189,WAP248,WAP255,WAP256,WAP257,WAP258,WAP259,WAP260,WAP261,WAP262,WAP263,WAP274,WAP278,WAP282,WAP284,WAP286,WAP288,WAP295,WAP310,WAP311,WAP312,WAP313,WAP314,WAP315,WAP316,WAP317,WAP318,WAP329,WAP334,WAP338,WAP340,WAP342,WAP344,WAP351,WAP366,WAP367,WAP368,WAP369,WAP370,WAP371,WAP372,WAP374,WAP375,WAP386,WAP390,WAP394,WAP396,WAP398,WAP400,WAP405,WAP478,WAP503,LATITUDE,LONGITUDE,FLOOR,LOC,USERID,TIMESTAMP
5988,0,0,0,0,19,19,0,24,29,35,0,0,0,0,0,32,31,37,35,0,0,0,0,32,22,27,27,40,40,0,0,0,0,0,0,46,45,57,57,0,0,0,23,27,0,29,0,0,0,23,0,0,0,18,0,0,0,0,23,0,0,24,0,0,0,22,0,20,0,17,0,0,0,20,23,29,0,24,21,0,0,22,0,0,0,19,17,0,0,0,4864810.030100003,-7460.767900001259,2,205,9,1371713755
5989,0,17,23,0,0,0,0,0,0,0,0,21,0,0,0,26,27,20,18,0,0,0,0,0,0,33,26,39,38,0,0,24,25,0,0,21,24,28,29,0,25,0,0,0,21,0,0,21,0,0,27,0,0,0,27,24,25,19,0,0,0,0,0,25,15,0,20,0,0,0,26,19,26,0,0,0,21,0,0,26,16,0,27,0,0,0,27,0,0,0,4864834.110160768,-7469.328741654754,2,199,9,1371713931
5990,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,45,45,25,24,0,0,35,24,0,0,37,38,60,60,0,0,0,15,0,0,30,30,46,46,0,0,0,0,0,0,0,0,0,0,23,0,0,21,0,18,23,0,0,0,0,0,0,0,0,0,21,0,0,20,0,18,0,15,0,0,0,0,0,17,0,0,22,0,0,23,0,17,0,0,0,4864831.2908999985,-7457.927200000732,2,209,9,1371713896
5991,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,44,44,31,31,0,0,0,0,0,0,47,47,61,61,0,0,0,0,16,0,27,25,47,47,0,0,0,0,0,17,0,20,0,0,0,0,0,0,0,18,0,0,0,0,0,13,0,20,16,13,0,0,0,17,0,16,0,0,0,0,0,0,0,20,0,0,20,0,0,16,0,0,0,0,0,4864828.6049000025,-7453.059500001371,2,214,9,1371713990
5992,0,30,23,0,15,0,28,27,0,33,0,0,0,0,0,27,20,34,34,0,0,0,0,0,0,29,31,39,39,0,0,0,0,0,0,41,41,55,54,0,0,21,36,0,0,0,0,25,29,0,0,0,0,24,19,17,0,0,27,21,0,0,0,29,22,0,19,0,0,22,0,0,0,0,28,0,0,0,0,44,0,0,0,0,0,25,0,0,0,0,4864820.413199998,-7466.963700000197,2,200,9,1371713849
5993,0,0,0,0,0,0,15,0,0,0,0,0,14,18,19,20,0,0,0,22,23,28,28,0,0,20,20,28,31,0,0,17,19,25,30,16,16,28,29,19,17,0,0,13,20,0,16,19,0,16,22,0,25,0,20,25,20,0,0,0,18,0,0,21,0,0,0,0,27,0,20,23,19,0,0,0,0,15,20,0,0,0,21,0,24,0,0,27,0,0,4864852.0842999965,-7458.26419999823,2,210,9,1371714032
5996,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,20,20,0,0,0,24,30,32,0,0,25,26,25,26,18,15,0,23,22,23,18,18,21,19,0,18,0,0,17,16,0,14,0,0,22,0,0,23,0,16,25,18,0,0,0,23,0,0,20,0,22,0,29,29,0,22,24,15,0,0,0,0,0,21,20,0,0,0,0,29,0,0,26,22,0,4864853.930299997,-7457.242100000381,2,212,9,1371714058
5997,0,0,0,0,0,0,0,0,0,0,0,0,0,26,22,19,0,0,0,21,27,31,30,0,0,21,21,35,35,17,21,0,0,20,19,17,17,26,27,0,0,0,0,0,25,15,0,0,0,0,0,0,24,0,23,30,0,0,0,0,0,17,23,0,0,19,0,0,28,0,18,30,0,0,0,15,22,15,0,18,0,24,22,0,26,0,23,26,20,16,4864853.930299997,-7457.242100000381,2,212,9,1371714708
6094,0,16,0,0,19,19,0,24,34,34,0,0,0,0,0,38,32,40,41,0,0,0,0,32,22,25,25,40,40,0,0,0,0,0,0,46,46,53,53,0,0,0,31,27,0,29,0,0,0,23,0,0,0,17,0,0,0,0,23,0,0,24,0,0,0,22,0,20,0,17,0,0,0,20,23,29,0,24,21,0,0,22,0,0,0,19,17,0,0,0,4864810.030100003,-7460.767900001259,2,205,9,1371713755
6095,0,0,0,15,16,0,26,26,29,30,0,0,0,0,0,22,26,36,36,0,0,0,0,0,0,36,37,40,40,0,0,0,14,0,0,43,43,49,49,0,0,0,20,31,0,23,26,0,0,0,0,23,0,37,0,0,0,0,20,34,0,0,24,0,0,22,0,26,0,22,0,0,0,0,21,34,16,0,0,30,23,0,0,22,0,39,17,0,0,0,4864815.285700001,-7457.755499999971,2,207,9,1371713783
6097,0,22,23,0,0,0,27,29,0,0,23,16,0,0,0,24,24,37,38,0,0,0,0,25,0,25,25,45,46,0,0,0,19,0,0,37,37,57,63,0,27,0,30,0,26,0,15,44,34,0,23,0,0,0,19,0,23,0,34,0,26,0,19,29,28,0,23,0,0,18,0,0,0,0,30,23,33,0,0,29,31,0,32,0,0,0,0,0,0,0,4864815.057400003,-7469.88919999823,2,196,9,1371713822
6099,0,15,15,0,0,0,0,0,0,14,0,0,0,0,0,43,43,31,31,0,0,0,0,0,0,47,42,63,63,0,0,0,0,16,0,31,27,46,45,0,0,0,0,0,17,0,20,0,0,0,0,0,16,0,18,0,0,0,0,0,13,0,20,16,13,0,0,0,17,0,16,0,0,0,0,0,0,0,20,0,0,20,0,0,16,0,0,0,0,0,4864828.6049000025,-7453.059500001371,2,214,9,1371713990
6100,0,30,23,0,15,0,28,27,0,23,0,0,0,0,0,27,24,34,34,0,0,0,0,0,0,32,31,39,38,0,0,0,0,0,0,41,30,55,55,0,0,21,36,0,0,0,0,25,23,0,0,0,0,24,19,17,0,0,27,21,0,0,16,29,23,0,20,0,0,22,0,0,0,0,31,0,0,0,0,44,28,0,0,0,0,25,0,0,0,0,4864820.413199998,-7466.963700000197,2,200,9,1371713850
6101,0,17,23,0,0,0,0,0,0,0,0,21,0,0,0,27,24,20,18,0,0,0,0,0,0,27,26,37,37,0,0,24,25,0,0,23,23,28,29,0,22,0,0,0,21,0,0,21,0,0,27,0,0,0,27,24,20,19,0,0,0,0,0,21,15,0,20,0,0,0,27,19,27,0,0,0,21,0,0,26,16,0,28,0,0,0,27,0,0,0,4864834.110160768,-7469.328741654754,2,199,9,1371713931
6102,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,45,45,25,24,0,0,35,24,0,0,37,36,60,60,0,0,0,15,0,0,25,25,48,48,0,0,0,0,0,0,0,0,0,0,23,0,0,21,0,18,23,0,0,0,0,0,0,0,0,0,23,0,0,20,0,18,0,15,0,0,0,0,0,17,0,0,21,0,0,23,0,17,0,0,0,4864831.2908999985,-7457.927200000732,2,209,9,1371713896
6104,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,19,19,0,0,0,24,30,32,0,0,25,22,25,25,18,21,0,23,24,27,16,18,21,19,0,14,0,0,17,16,0,14,0,0,22,0,0,23,0,16,26,18,0,0,0,23,0,0,20,0,22,0,29,29,0,22,25,15,0,0,0,0,0,21,18,0,0,0,0,23,0,0,26,22,0,4864853.930299997,-7457.242100000381,2,212,9,1371714059
6105,0,0,0,0,0,0,0,0,0,0,0,0,0,26,24,21,0,0,0,25,22,29,29,0,0,21,21,35,35,17,21,0,0,18,19,17,17,27,27,0,0,0,0,0,25,15,21,0,0,20,0,0,24,0,23,30,0,0,0,0,21,17,23,17,0,19,0,0,28,0,22,27,0,0,0,15,22,15,0,18,0,24,22,0,26,0,23,26,20,16,4864853.930299997,-7457.242100000381,2,212,9,1371714709
6106,0,0,0,0,0,0,15,0,0,0,0,0,14,18,19,20,0,0,0,22,23,30,30,0,0,28,20,31,31,19,19,17,19,20,20,15,16,28,28,19,17,0,0,13,20,0,16,19,0,16,22,0,25,0,22,25,20,0,0,0,18,0,0,21,0,0,0,0,27,0,22,23,19,0,0,0,0,15,20,0,0,0,21,0,24,0,23,27,0,0,4864852.0842999965,-7458.26419999823,2,210,9,1371714032
6205,0,0,0,0,0,0,0,0,0,0,0,0,0,17,18,0,0,0,0,19,20,23,18,0,0,21,21,18,18,0,15,17,14,20,17,22,21,20,17,17,13,0,0,0,0,0,0,18,0,15,18,0,22,0,0,0,14,0,0,0,12,0,0,0,0,11,0,0,19,0,0,12,0,0,0,0,13,0,0,0,0,18,15,0,18,0,0,0,0,0,4864852.0842999965,-7458.26419999823,2,210,10,1371713830
6208,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17,0,0,0,0,19,21,24,28,0,0,0,0,26,26,0,0,0,0,19,20,14,15,18,18,0,0,0,0,0,0,0,0,0,0,17,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,22,0,0,0,0,0,4864853.930299997,-7457.242100000381,2,212,10,1371713734
6222,0,0,0,0,0,0,21,11,0,20,0,0,0,0,0,13,13,27,20,0,0,0,0,0,0,13,13,34,32,0,0,0,0,0,0,35,34,36,36,0,0,0,0,15,0,0,0,0,0,0,0,12,0,0,0,0,0,0,11,0,0,21,21,0,0,17,0,0,0,14,0,0,0,0,0,15,0,18,21,0,0,15,0,0,0,0,0,0,0,0,4864815.285700001,-7457.755499999971,2,207,10,1371714966
6223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,15,14,0,0,0,0,0,0,39,38,60,59,0,0,0,0,0,0,20,20,45,44,0,0,0,0,0,0,0,18,0,0,21,0,0,0,0,0,0,0,0,0,0,13,0,14,0,0,15,0,0,0,0,0,0,0,0,0,0,15,0,14,0,0,19,0,0,0,0,0,0,0,0,4864828.6049000025,-7453.059500001371,2,214,10,1371714927
6224,0,0,13,0,0,0,20,19,17,13,0,0,0,0,0,23,19,32,33,0,0,0,0,0,0,27,19,48,48,0,0,0,0,0,0,30,31,51,51,0,0,0,15,19,0,19,0,0,0,0,0,0,0,0,0,0,0,0,19,17,0,19,0,15,17,0,0,0,0,0,0,0,0,0,18,20,0,21,0,0,0,0,0,0,0,0,0,0,0,0,4864810.030100003,-7460.767900001259,2,205,10,1371714993
6225,0,21,20,0,0,0,19,17,17,0,15,0,0,0,0,17,15,22,23,0,0,0,0,0,0,20,14,35,36,0,0,0,15,0,0,25,27,60,59,0,0,19,22,0,22,0,0,20,17,0,0,0,0,0,21,0,0,0,22,0,18,0,0,19,0,0,0,0,0,0,19,0,0,0,22,0,21,0,0,22,15,0,17,0,0,0,18,0,0,0,4864815.057400003,-7469.88919999823,2,196,10,1371715022
6226,0,18,18,0,0,0,20,21,21,21,0,0,0,0,0,17,12,31,27,0,0,0,0,0,0,22,20,33,34,0,0,0,0,0,0,32,32,50,50,0,0,0,26,15,0,0,0,0,21,0,13,0,0,13,0,0,0,0,17,0,0,0,0,0,17,0,0,0,0,19,0,0,0,0,24,19,15,15,0,21,14,0,0,0,0,17,0,0,0,0,4864820.413199998,-7466.963700000197,2,200,10,1371715062
6227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,35,20,17,0,0,0,0,0,0,33,33,57,57,0,0,0,0,0,0,31,28,33,33,0,0,0,0,0,0,0,0,0,0,14,13,0,0,0,17,20,0,0,0,0,15,0,0,0,11,17,0,0,0,0,0,17,0,0,0,0,15,0,0,0,0,17,0,0,0,0,0,0,0,0,4864831.2908999985,-7457.927200000732,2,209,10,1371715101
6228,0,17,15,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0,26,23,36,34,0,0,14,20,0,0,15,15,28,28,0,15,0,0,0,0,0,0,0,0,0,15,0,0,0,22,19,15,0,0,0,14,0,0,0,14,0,18,0,0,0,21,17,18,0,0,0,18,0,0,0,13,0,19,0,0,0,15,0,0,0,4864834.110160768,-7469.328741654754,2,199,10,1371715135
6295,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18,0,0,0,0,19,20,28,30,0,0,0,0,15,0,0,0,0,0,0,17,19,18,17,0,0,18,0,0,0,0,0,0,0,0,0,0,0,16,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,4864852.0842999965,-7458.26419999823,2,210,10,1371713817
6296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,22,23,27,25,0,0,0,0,21,23,15,13,0,0,0,12,14,0,18,21,0,0,0,0,0,0,14,0,14,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,4864853.930299997,-7457.242100000381,2,212,10,1371713722
6309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,40,13,0,0,0,0,0,0,0,44,44,63,62,0,0,0,0,0,0,26,29,44,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,16,0,0,0,0,0,0,0,0,4864828.6049000025,-7453.059500001371,2,214,10,1371714915
6313,0,0,0,0,0,0,24,11,0,14,0,0,0,0,0,21,22,37,37,0,0,0,0,0,0,16,23,40,39,0,0,0,0,0,0,26,26,51,51,0,0,0,18,21,0,0,0,0,0,0,0,12,0,0,0,0,0,0,16,21,0,21,21,0,0,17,0,0,0,14,0,0,0,0,16,20,17,18,0,0,0,15,0,0,0,0,0,0,0,0,4864810.030100003,-7460.767900001259,2,205,10,1371714982
6314,0,21,20,0,0,0,0,21,20,20,0,0,0,0,0,13,17,28,28,0,0,0,0,0,0,20,20,38,40,0,0,0,0,0,0,38,38,47,47,0,0,0,0,17,0,0,18,0,0,21,0,0,0,0,0,0,0,0,0,0,13,19,14,0,0,15,0,0,0,0,0,0,0,0,0,0,15,0,14,0,0,19,0,18,0,0,0,0,0,0,4864815.285700001,-7457.755499999971,2,207,10,1371714955
6315,0,21,21,0,0,0,20,14,0,21,0,0,0,0,0,23,17,36,35,0,0,0,0,0,0,27,19,45,43,0,0,0,0,0,0,36,36,51,52,0,0,0,25,19,18,19,0,26,18,0,0,0,0,0,19,0,0,0,26,17,0,0,0,21,17,0,0,0,0,0,0,0,18,0,24,20,0,21,0,0,0,0,0,0,0,0,0,0,0,0,4864815.057400003,-7469.88919999823,2,196,10,1371715011
6316,0,20,16,0,0,0,23,20,22,19,0,0,0,0,0,13,17,28,30,0,0,0,0,0,0,18,17,28,27,0,0,0,0,0,0,34,36,53,53,0,0,0,19,0,0,0,0,20,13,0,0,0,0,12,0,0,0,20,20,0,14,0,0,18,12,0,0,0,0,16,0,0,0,13,22,0,0,15,0,0,0,0,0,0,0,16,0,0,0,0,4864820.413199998,-7466.963700000197,2,200,10,1371715051
6317,0,18,18,0,0,0,20,21,21,21,0,0,0,0,0,32,31,20,22,0,0,0,0,0,0,40,39,47,47,0,0,0,0,0,0,21,21,36,37,0,0,0,26,15,0,0,0,0,0,0,19,0,0,13,0,0,0,0,17,0,0,0,0,0,17,0,0,0,0,19,0,20,0,0,24,19,15,15,0,21,14,0,0,0,0,0,0,0,0,0,4864831.2908999985,-7457.927200000732,2,209,10,1371715090
6319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,20,17,0,0,0,0,0,0,22,19,39,36,0,0,0,0,0,0,31,28,25,25,0,0,0,0,0,0,0,0,21,0,14,23,0,0,0,21,20,14,0,0,0,15,0,0,14,11,17,24,0,0,0,20,18,0,0,0,0,15,0,0,14,0,17,23,0,0,0,0,0,0,0,4864834.110160768,-7469.328741654754,2,199,10,1371715123
6387,0,0,0,0,0,0,0,0,0,0,0,0,0,19,23,0,0,0,0,21,22,23,24,0,0,14,0,15,0,0,0,0,0,18,19,20,19,20,19,0,18,0,0,0,0,0,0,0,0,0,0,0,20,0,0,13,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,14,0,0,4864852.0842999965,-7458.26419999823,2,210,10,1371713819
6389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,0,0,20,19,20,21,0,0,0,0,24,20,0,13,0,0,20,19,0,0,19,17,0,0,0,0,0,13,14,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,4864853.930299997,-7457.242100000381,2,212,10,1371713723
6399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,21,22,0,0,0,0,0,0,38,38,55,54,0,0,0,0,0,0,28,28,37,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,16,0,0,0,0,0,0,0,0,4864828.6049000025,-7453.059500001371,2,214,10,1371714916
6404,0,21,17,0,0,0,20,13,15,18,0,0,0,0,0,18,20,34,32,0,0,0,0,0,0,22,20,42,44,0,0,0,0,0,0,30,28,59,55,0,0,0,25,0,18,0,0,26,18,0,0,0,0,0,19,14,0,0,26,0,0,0,0,19,17,0,0,0,0,0,0,0,18,0,27,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,4864815.057400003,-7469.88919999823,2,196,10,1371715012
6405,0,21,15,0,0,0,22,19,20,20,0,0,0,0,0,13,17,27,26,0,0,0,0,0,0,24,23,36,35,0,0,0,0,0,0,37,35,44,44,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,0,0,0,0,0,0,0,19,0,0,0,0,0,0,14,0,0,0,0,0,0,18,0,15,0,0,0,0,4864815.285700001,-7457.755499999971,2,207,10,1371714956
6406,0,0,13,0,0,0,18,18,19,14,0,0,0,0,0,21,15,34,30,0,0,0,0,0,0,19,23,42,42,0,0,0,0,0,0,31,30,54,54,0,0,0,18,21,0,0,17,0,0,0,0,0,0,0,0,0,0,0,13,21,17,21,0,0,0,0,0,0,0,0,0,0,0,0,16,20,17,0,0,0,0,0,0,0,0,0,0,0,0,0,4864810.030100003,-7460.767900001259,2,205,10,1371714983
6407,0,21,16,0,0,0,19,21,22,22,0,0,0,0,0,14,15,29,30,0,0,0,0,0,0,22,22,32,33,0,0,0,0,0,0,37,37,54,53,0,0,0,25,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,25,0,0,0,0,0,12,0,0,0,0,19,0,0,0,13,26,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,4864820.413199998,-7466.963700000197,2,200,10,1371715052
6408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,33,21,19,0,0,0,0,0,0,36,37,47,48,0,0,0,0,0,0,18,17,37,37,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,4864831.2908999985,-7457.927200000732,2,209,10,1371715091
6409,0,12,13,0,0,0,0,0,0,0,0,0,0,0,0,15,14,0,0,0,0,0,0,0,0,22,19,35,34,0,0,20,20,0,0,0,0,23,23,0,0,0,0,0,0,0,0,21,0,0,22,0,0,0,21,0,14,0,0,0,18,0,0,14,0,0,23,0,0,0,19,18,0,0,0,0,15,0,0,14,0,0,20,0,0,0,20,0,0,0,4864834.110160768,-7469.328741654754,2,199,10,1371715124
6479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,0,0,24,24,24,22,0,0,15,0,25,25,0,13,0,0,22,22,17,0,18,18,0,0,0,0,0,13,14,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,17,0,0,0,15,0,0,22,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,4864853.930299997,-7457.242100000381,2,212,10,1371713725
6482,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18,0,13,0,0,18,22,28,29,0,0,18,19,13,18,0,0,0,0,17,20,20,18,19,17,0,18,0,0,0,0,0,0,0,0,0,0,0,23,0,0,13,18,0,0,0,0,0,0,0,0,15,12,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,14,0,0,4864852.0842999965,-7458.26419999823,2,210,10,1371713824
6495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,37,21,22,0,0,0,0,0,0,33,34,51,50,0,0,0,0,0,0,19,17,43,43,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,4864828.6049000025,-7453.059500001371,2,214,10,1371714918
6496,0,18,20,0,0,0,22,25,20,20,0,0,0,0,0,13,17,14,27,0,0,0,0,0,0,24,23,37,35,0,0,0,0,0,0,38,38,47,47,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,0,0,0,0,0,0,0,19,0,0,0,0,0,23,14,0,0,0,0,0,0,18,0,15,0,0,0,0,4864815.285700001,-7457.755499999971,2,207,10,1371714957
6497,0,17,14,0,0,0,18,19,17,14,0,0,0,0,0,18,15,35,36,0,0,0,0,0,0,25,25,44,43,0,0,0,0,0,0,32,34,48,48,0,0,0,17,21,0,0,17,0,0,0,0,0,0,0,0,0,0,0,13,21,17,21,0,0,0,0,0,0,0,0,0,0,0,0,16,20,17,0,0,0,0,0,0,0,0,0,0,0,0,0,4864810.030100003,-7460.767900001259,2,205,10,1371714984
6498,0,25,23,0,0,0,24,21,19,17,0,0,0,0,0,13,13,31,31,0,0,0,0,0,0,23,22,38,38,0,0,0,0,0,0,32,32,52,51,0,0,0,0,0,17,14,0,18,0,0,0,0,0,20,0,0,0,12,24,0,0,0,0,15,0,0,0,0,0,18,0,0,0,0,23,0,0,16,0,13,0,0,0,0,0,15,0,0,0,0,4864820.413199998,-7466.963700000197,2,200,10,1371715042
6499,0,22,22,0,0,0,19,21,22,21,0,0,0,0,0,14,15,26,27,0,0,0,0,0,0,22,23,31,29,0,0,0,0,0,0,36,36,50,51,0,0,17,26,0,0,15,0,19,15,0,0,0,0,15,0,0,0,0,25,0,0,0,0,0,13,0,0,0,0,19,0,0,0,13,26,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,4864820.413199998,-7466.963700000197,2,200,10,1371715053
6500,0,20,20,0,0,0,21,20,15,18,0,0,0,0,0,22,22,36,35,0,0,0,0,0,0,13,17,43,43,0,0,0,0,0,0,40,37,55,55,0,0,0,25,0,18,0,0,21,15,0,0,0,0,0,19,14,0,0,30,0,0,0,0,23,17,0,0,0,0,0,0,0,18,0,22,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,4864815.057400003,-7469.88919999823,2,196,10,1371715013
6501,0,12,13,0,0,0,0,0,0,0,0,0,0,0,0,19,20,0,0,0,0,0,0,0,0,24,23,35,36,0,0,20,19,0,0,11,0,25,25,0,0,0,0,0,13,0,0,14,0,0,21,0,0,0,18,0,14,0,0,0,18,0,0,18,0,0,23,0,0,0,19,18,0,0,0,0,15,0,0,14,0,0,15,0,0,0,20,0,0,0,4864834.110160768,-7469.328741654754,2,199,10,1371715126
6502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,27,21,18,0,0,0,0,0,0,35,37,50,48,0,0,0,0,0,0,20,19,42,41,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,4864831.2908999985,-7457.927200000732,2,209,10,1371715093
